titre,realisateur,nombre_de_film,Ville,titre_realisateur
36,OLIVIER MARCHAL,1,Paris,36_OLIVIER MARCHAL
36,OLIVIER MARCHAL,1,Paris,36_OLIVIER MARCHAL
36,OLIVIER MARCHAL,1,Paris,36_OLIVIER MARCHAL
36,OLIVIER MARCHAL,1,Paris,36_OLIVIER MARCHAL
JE PREFERE QU'ON RESTE AMIS,TOLEDANO ERIC,1,Paris,JE PREFERE QU'ON RESTE AMIS_TOLEDANO ERIC
JE PREFERE QU'ON RESTE AMIS,TOLEDANO ERIC,1,Paris,JE PREFERE QU'ON RESTE AMIS_TOLEDANO ERIC
JE PREFERE QU'ON RESTE AMIS,TOLEDANO ERIC,1,Paris,JE PREFERE QU'ON RESTE AMIS_TOLEDANO ERIC
JE PREFERE QU'ON RESTE AMIS,TOLEDANO ERIC,1,Paris,JE PREFERE QU'ON RESTE AMIS_TOLEDANO ERIC
TRAVAUX,ROUAN BRIGITTE,1,Paris,TRAVAUX_ROUAN BRIGITTE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LE PLUS BEAU JOUR DE MA VIE,LIPINSKI JULIE,1,Paris,LE PLUS BEAU JOUR DE MA VIE_LIPINSKI JULIE
LES GENS HONNETES VIVENT EN FRANCE,DECOURT BOB,1,Paris,LES GENS HONNETES VIVENT EN FRANCE_DECOURT BOB
LES GENS HONNETES VIVENT EN FRANCE,DECOURT BOB,1,Paris,LES GENS HONNETES VIVENT EN FRANCE_DECOURT BOB
LES GENS HONNETES VIVENT EN FRANCE,DECOURT BOB,1,Paris,LES GENS HONNETES VIVENT EN FRANCE_DECOURT BOB
LES GENS HONNETES VIVENT EN FRANCE,DECOURT BOB,1,Paris,LES GENS HONNETES VIVENT EN FRANCE_DECOURT BOB
LES GENS HONNETES VIVENT EN FRANCE,DECOURT BOB,1,Paris,LES GENS HONNETES VIVENT EN FRANCE_DECOURT BOB
LE PONT DES ARTS,GREEN EUGENE,1,Paris,LE PONT DES ARTS_GREEN EUGENE
LE PONT DES ARTS,GREEN EUGENE,1,Paris,LE PONT DES ARTS_GREEN EUGENE
LE PONT DES ARTS,GREEN EUGENE,1,Paris,LE PONT DES ARTS_GREEN EUGENE
QUAND LES ANGES S'EN MELENT,CRYSTEL AMSALEM,1,Paris,QUAND LES ANGES S'EN MELENT_CRYSTEL AMSALEM
LES SOEURS FACHEES,ALEXANDRA LECLERE,1,Paris,LES SOEURS FACHEES_ALEXANDRA LECLERE
LES SOEURS FACHEES,ALEXANDRA LECLERE,1,Paris,LES SOEURS FACHEES_ALEXANDRA LECLERE
L'EMPIRE DES LOUPS,NAHON CHRIS,1,Paris,L'EMPIRE DES LOUPS_NAHON CHRIS
L'EMPIRE DES LOUPS,NAHON CHRIS,1,Paris,L'EMPIRE DES LOUPS_NAHON CHRIS
L'EMPIRE DES LOUPS,NAHON CHRIS,1,Paris,L'EMPIRE DES LOUPS_NAHON CHRIS
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE CARTON,NEMES CHARLES,1,Paris,LE CARTON_NEMES CHARLES
LE QUATRIEME MORCEAU DE LA FEMME COUPEE EN TROIS,MARSAC LAURE,1,Paris,LE QUATRIEME MORCEAU DE LA FEMME COUPEE EN TROIS_MARSAC LAURE
DE BATTRE MON COEUR S'EST ARRETE,JACQUES AUDIARD,1,Paris,DE BATTRE MON COEUR S'EST ARRETE_JACQUES AUDIARD
DE BATTRE MON COEUR S'EST ARRETE,JACQUES AUDIARD,1,Paris,DE BATTRE MON COEUR S'EST ARRETE_JACQUES AUDIARD
DE BATTRE MON COEUR S'EST ARRETE,JACQUES AUDIARD,1,Paris,DE BATTRE MON COEUR S'EST ARRETE_JACQUES AUDIARD
DE BATTRE MON COEUR S'EST ARRETE,JACQUES AUDIARD,1,Paris,DE BATTRE MON COEUR S'EST ARRETE_JACQUES AUDIARD
DE BATTRE MON COEUR S'EST ARRETE,JACQUES AUDIARD,1,Paris,DE BATTRE MON COEUR S'EST ARRETE_JACQUES AUDIARD
OUBLIER CHEYENNE,MINETTO VALERIE,1,Paris,OUBLIER CHEYENNE_MINETTO VALERIE
L'UN RESTE- L'AUTRE PAS/l'UN RESTE L'AUTRE PART,BERRI CLAUDE,1,Paris,L'UN RESTE- L'AUTRE PAS/l'UN RESTE L'AUTRE PART_BERRI CLAUDE
UN AMOUR DESASTREUX,KARA YOURI,1,Paris,UN AMOUR DESASTREUX_KARA YOURI
UN AMOUR DESASTREUX,KARA YOURI,1,Paris,UN AMOUR DESASTREUX_KARA YOURI
